# index, date, coordinate, B02, B03, B04, B05, B8A
136,2022-11-10,6.395687832452296-46.51935827791601,(200-200),(200-200),(200-200),(100-100),(100-100)
137,2022-11-10,6.451964412458636-46.523230584614396,(200-200),(200-200),(200-200),(100-100),(100-100)
138,2022-11-10,6.4344889284768385-46.54788451662009,(200-200),(200-200),(200-200),(100-100),(100-100)
139,2022-11-10,6.494912203852266-46.53647579032253,(200-200),(200-200),(200-200),(100-100),(100-100)
140,2022-11-10,6.528085766803741-46.54686597781435,(200-200),(200-200),(200-200),(100-100),(100-100)
141,2022-11-10,6.479510192482394-46.558068853534394,(200-200),(200-200),(200-200),(100-100),(100-100)
142,2022-11-10,6.455518607817737-46.57476702700683,(200-200),(200-200),(200-200),(100-100),(100-100)
143,2022-11-10,6.512091380350142-46.56784401712514,(200-200),(200-200),(200-200),(100-100),(100-100)
144,2022-11-10,6.346815950646942-46.549310436995114,(200-200),(200-200),(200-200),(100-100),(100-100)
145,2022-11-10,6.378212358439981-46.56662221776591,(200-200),(200-200),(200-200),(100-100),(100-100)
146,2022-11-10,6.505871337296554-46.5916636041587,(200-200),(200-200),(200-200),(100-100),(100-100)
147,2022-11-10,6.483064441144734-46.60407816304709,(200-200),(200-200),(200-200),(100-100),(100-100)
148,2022-11-10,6.438931756473039-46.61628647995829,(200-200),(200-200),(200-200),(100-100),(100-100)
149,2022-11-10,6.510017962796098-46.633170114489985,(200-200),(200-200),(200-200),(100-100),(100-100)
150,2022-11-10,6.55740847285378-46.6004151005755,(200-200),(200-200),(200-200),(100-100),(100-100)
151,2022-11-10,6.566170039697937-46.637272949203236,(200-200),(200-200),(200-200),(100-100),(100-100)
152,2022-11-10,6.5957892923324835-46.623238589781636,(200-200),(200-200),(200-200),(100-100),(100-100)
153,2022-11-10,6.599935987701485-46.65374342343435,(200-200),(200-200),(200-200),(100-100),(100-100)
154,2022-11-10,6.610006075539559-46.60452034549715,(200-200),(200-200),(200-200),(100-100),(100-100)
155,2022-11-10,6.635182440278982-46.61815267466861,(200-200),(200-200),(200-200),(100-100),(100-100)
156,2022-11-10,6.67171600177781-46.655769877346415,(200-200),(200-200),(200-200),(100-100),(100-100)
157,2022-11-10,6.731713738430443-46.5531814926637,(200-200),(200-200),(200-200),(100-100),(100-100)
158,2022-11-10,6.721264634014062-46.52373552099556,(200-200),(200-200),(200-200),(100-100),(100-100)
159,2022-11-10,6.791374753964988-46.51816913393765,(200-200),(200-200),(200-200),(100-100),(100-100)
160,2022-11-10,6.786318735699439-46.56592873002131,(200-200),(200-200),(200-200),(100-100),(100-100)
161,2022-11-10,6.772836020324206-46.612720159578345,(200-200),(200-200),(200-200),(100-100),(100-100)
162,2022-11-10,6.822047963878504-46.63309187861205,(200-200),(200-200),(200-200),(100-100),(100-100)
163,2022-11-10,6.819014143631762-46.5951201942444,(200-200),(200-200),(200-200),(100-100),(100-100)
164,2022-11-10,6.664649218189254-46.69084375139664,(200-200),(200-200),(200-200),(100-100),(100-100)
165,2022-11-10,6.722961962186389-46.709799360209615,(200-200),(200-200),(200-200),(100-100),(100-100)
166,2022-11-10,6.655548385310283-46.735679195694274,(200-200),(200-200),(200-200),(100-100),(100-100)
167,2022-11-10,6.6208303932195065-46.736141222790735,(200-200),(200-200),(200-200),(100-100),(100-100)
168,2022-11-10,6.732123185185941-46.7533170371247,(200-200),(200-200),(200-200),(100-100),(100-100)
169,2022-11-10,6.803801892084749-46.75392585112846,(200-200),(200-200),(200-200),(100-100),(100-100)
170,2022-11-10,6.872814861003889-46.70052859331409,(200-200),(200-200),(200-200),(100-100),(100-100)
171,2022-11-10,6.826312634366985-46.73098983807117,(200-200),(200-200),(200-200),(100-100),(100-100)
172,2022-11-10,6.786919028361893-46.747228804641594,(200-200),(200-200),(200-200),(100-100),(100-100)
173,2022-11-10,6.929683506347828-46.71007489166334,(200-200),(200-200),(200-200),(100-100),(100-100)
174,2022-11-10,7.008766761386141-46.7173858447907,(200-200),(200-200),(200-200),(100-100),(100-100)
176,2022-11-10,7.038385915674127-46.77401221710866,(200-200),(200-200),(200-200),(100-100),(100-100)
177,2022-11-10,6.935607204944688-46.77360648282681,(200-200),(200-200),(200-200),(100-100),(100-100)
180,2022-11-10,6.9086536943914325-46.8279447425717,(200-200),(200-200),(200-200),(100-100),(100-100)
181,2022-11-10,6.948935850436698-46.85732129997581,(200-200),(200-200),(200-200),(100-100),(100-100)
182,2022-11-10,6.976777947913831-46.868662433011565,(200-200),(200-200),(200-200),(100-100),(100-100)
184,2022-11-10,6.962856823000351-46.89680236193064,(200-200),(200-200),(200-200),(100-100),(100-100)
185,2022-11-10,7.01587528521685-46.897611926438486,(200-200),(200-200),(200-200),(100-100),(100-100)
186,2022-11-10,7.043124661845781-46.94980289395548,(200-200),(200-200),(200-200),(100-100),(100-100)
187,2022-11-10,7.101178279525101-46.984366567691836,(200-200),(200-200),(200-200),(100-100),(100-100)
188,2022-11-10,7.150713285610294-46.9746462531738,(200-200),(200-200),(200-200),(100-100),(100-100)
189,2022-11-10,7.147795627016961-47.0117328170729,(200-200),(200-200),(200-200),(100-100),(100-100)
190,2022-11-10,7.181479947257145-47.000157336259974,(200-200),(200-200),(200-200),(100-100),(100-100)
191,2022-11-10,7.202167954963187-47.02204011786418,(200-200),(200-200),(200-200),(100-100),(100-100)
192,2022-11-10,7.232669186087804-47.04156425884187,(200-200),(200-200),(200-200),(100-100),(100-100)
193,2022-11-10,7.267414429799032-47.08456452470577,(200-200),(200-200),(200-200),(100-100),(100-100)
