# index, date, coordinate, B02, B03, B04, B05, B8A
38,2022-01-01,9.147190218011076-47.56533677127976,(200-200),(200-200),(200-200),(100-100),(100-100)
39,2022-01-01,9.346799803066062-47.54838670732093,(200-200),(200-200),(200-200),(100-100),(100-100)
40,2022-01-01,9.275151703172838-47.59333698094673,(200-200),(200-200),(200-200),(100-100),(100-100)
41,2022-01-01,9.3531450222452-47.52339766166409,(200-200),(200-200),(200-200),(100-100),(100-100)
42,2022-01-01,9.369801270653909-47.50482672685766,(200-200),(200-200),(200-200),(100-100),(100-100)
43,2022-01-01,9.358239282155893-47.48168500788219,(200-200),(200-200),(200-200),(100-100),(100-100)
44,2022-01-14,8.926256373463474-47.54382824207937,(200-200),(200-200),(200-200),(100-100),(100-100)
45,2022-01-14,8.939644342145328-47.56094861318593,(200-200),(200-200),(200-200),(100-100),(100-100)
46,2022-01-14,8.971881161471657-47.51659057632145,(200-200),(200-200),(200-200),(100-100),(100-100)
47,2022-01-14,8.862135049775873-47.54584968817372,(200-200),(200-200),(200-200),(100-100),(100-100)
48,2022-01-14,8.862487364740872-47.52289574833105,(200-200),(200-200),(200-200),(100-100),(100-100)
49,2022-01-01,9.013806642344178-47.529794879560114,(200-200),(200-200),(200-200),(100-100),(100-100)
50,2022-01-14,8.976108941055315-47.505881944566084,(200-200),(200-200),(200-200),(100-100),(100-100)
51,2022-01-14,8.806998294123133-47.489338760767936,(200-200),(200-200),(200-200),(100-100),(100-100)
52,2022-01-14,8.788501758444625-47.51337821272497,(200-200),(200-200),(200-200),(100-100),(100-100)
53,2022-01-14,8.874994364088735-47.432528402152144,(200-200),(200-200),(200-200),(100-100),(100-100)
54,2022-01-14,8.894019392381011-47.44873210325946,(200-200),(200-200),(200-200),(100-100),(100-100)
55,2022-01-14,8.738183269383711-47.30297566412639,(200-200),(200-200),(200-200),(100-100),(100-100)
56,2022-01-14,8.729974166148338-47.32146847107467,(200-200),(200-200),(200-200),(100-100),(100-100)
57,2022-01-14,8.644176395090597-47.212933167994436,(200-200),(200-200),(200-200),(100-100),(100-100)
58,2022-01-14,8.497207443847884-47.22444414793736,(200-200),(200-200),(200-200),(100-100),(100-100)
59,2022-01-14,8.417235221376245-47.22192627617815,(200-200),(200-200),(200-200),(100-100),(100-100)
60,2022-01-14,8.35288644889161-47.22138672846543,(200-200),(200-200),(200-200),(100-100),(100-100)
61,2022-01-14,8.329583189720694-47.24745858697787,(200-200),(200-200),(200-200),(100-100),(100-100)
62,2022-01-14,8.377248947116072-47.281422650600604,(200-200),(200-200),(200-200),(100-100),(100-100)
63,2022-01-14,8.35714943063985-47.19293179057482,(200-200),(200-200),(200-200),(100-100),(100-100)
64,2022-01-14,8.360686007978984-47.1537736811982,(200-200),(200-200),(200-200),(100-100),(100-100)
65,2022-01-14,8.29306776675358-47.14088826669183,(200-200),(200-200),(200-200),(100-100),(100-100)
66,2022-01-14,8.00593625699554-47.16110375317771,(200-200),(200-200),(200-200),(100-100),(100-100)
67,2022-01-14,8.063754753391237-47.217045372785066,(200-200),(200-200),(200-200),(100-100),(100-100)
68,2022-01-14,7.917085386792905-47.19529733374995,(200-200),(200-200),(200-200),(100-100),(100-100)
69,2022-01-14,7.9102256471215355-47.24565931921077,(200-200),(200-200),(200-200),(100-100),(100-100)
70,2022-01-14,7.752776665112208-47.29132090452697,(200-200),(200-200),(200-200),(100-100),(100-100)
71,2022-01-14,8.479234698617176-47.468200209229565,(200-200),(200-200),(200-200),(100-100),(100-100)
72,2022-01-14,8.5228658207578-47.49011512888103,(200-200),(200-200),(200-200),(100-100),(100-100)
73,2022-01-14,8.489486652914138-47.54116071244849,(200-200),(200-200),(200-200),(100-100),(100-100)
74,2022-01-14,8.456822916666283-47.50718950275319,(200-200),(200-200),(200-200),(100-100),(100-100)
75,2022-01-14,8.27083016143331-47.54798125701785,(200-200),(200-200),(200-200),(100-100),(100-100)
76,2022-01-14,8.347859789108867-47.5155376606138,(200-200),(200-200),(200-200),(100-100),(100-100)
77,2022-01-14,8.204450956995458-47.507626626863015,(200-200),(200-200),(200-200),(100-100),(100-100)
78,2022-01-14,8.024724792925923-47.48385716421109,(200-200),(200-200),(200-200),(100-100),(100-100)
79,2022-01-14,7.9805172839221825-47.50740649157987,(200-200),(200-200),(200-200),(100-100),(100-100)
80,2022-01-14,7.94082748539094-47.51520889663294,(200-200),(200-200),(200-200),(100-100),(100-100)
81,2022-01-14,7.876553735825837-47.56559646975947,(200-200),(200-200),(200-200),(100-100),(100-100)
82,2022-01-14,7.7841416978688756-47.51980977941784,(200-200),(200-200),(200-200),(100-100),(100-100)
83,2022-01-14,7.924879832081501-47.44546191761032,(200-200),(200-200),(200-200),(100-100),(100-100)
84,2022-01-14,7.83724210217926-47.421293000866655,(200-200),(200-200),(200-200),(100-100),(100-100)
85,2022-01-14,7.891552167562168-47.48768826298786,(200-200),(200-200),(200-200),(100-100),(100-100)
86,2022-01-14,7.530554856863176-47.49679800639515,(200-200),(200-200),(200-200),(100-100),(100-100)
87,2022-01-14,7.48808429688944-47.47151351881067,(200-200),(200-200),(200-200),(100-100),(100-100)
88,2022-01-14,7.539655593126923-47.42341667408908,(200-200),(200-200),(200-200),(100-100),(100-100)
89,2022-01-14,7.4896664506154025-47.35356095605994,(200-200),(200-200),(200-200),(100-100),(100-100)
90,2022-01-14,7.2890412810453995-47.33718672659833,(200-200),(200-200),(200-200),(100-100),(100-100)
91,2022-01-14,7.274081499165504-47.38785231199117,(200-200),(200-200),(200-200),(100-100),(100-100)
92,2022-01-14,7.281369598029556-47.41537319139903,(200-200),(200-200),(200-200),(100-100),(100-100)
93,2022-01-14,7.191227492286316-47.41900695365217,(200-200),(200-200),(200-200),(100-100),(100-100)
95,2022-01-14,7.039328168586366-47.481001720453776,(200-200),(200-200),(200-200),(100-100),(100-100)
96,2022-01-14,7.139827216084626-47.47944626069253,(200-200),(200-200),(200-200),(100-100),(100-100)
97,2022-01-14,7.091111988322979-47.39616200569395,(200-200),(200-200),(200-200),(100-100),(100-100)
98,2022-01-14,7.000586128744203-47.39979708960158,(200-200),(200-200),(200-200),(100-100),(100-100)
99,2022-01-14,6.913128942372595-47.37330716424498,(200-200),(200-200),(200-200),(100-100),(100-100)
100,2022-01-14,6.997517455538457-47.439766461453615,(200-200),(200-200),(200-200),(100-100),(100-100)
101,2022-01-14,7.085644140035527-47.330042545353365,(200-200),(200-200),(200-200),(100-100),(100-100)
102,2022-01-14,7.0511525790099085-47.25374165589619,(200-200),(200-200),(200-200),(100-100),(100-100)
104,2022-01-14,6.941491965640665-47.20516385310884,(200-200),(200-200),(200-200),(100-100),(100-100)
105,2022-01-14,6.928212751402839-47.15333729535928,(200-200),(200-200),(200-200),(100-100),(100-100)
106,2022-01-14,6.849822649504233-47.1326509500154,(200-200),(200-200),(200-200),(100-100),(100-100)
107,2022-01-14,6.881521418974756-47.111956395135536,(200-200),(200-200),(200-200),(100-100),(100-100)
108,2022-01-14,6.779571322568415-47.10204347609712,(200-200),(200-200),(200-200),(100-100),(100-100)
109,2022-01-14,6.9534861629800275-47.05974715794824,(200-200),(200-200),(200-200),(100-100),(100-100)
110,2022-01-14,6.910649988019884-47.042235373182365,(200-200),(200-200),(200-200),(100-100),(100-100)
111,2022-01-14,6.877237771550227-47.02354979833058,(200-200),(200-200),(200-200),(100-100),(100-100)
112,2022-01-14,6.812126840405966-47.07112672867805,(200-200),(200-200),(200-200),(100-100),(100-100)
113,2022-01-14,6.794564092208617-47.026177935491944,(200-200),(200-200),(200-200),(100-100),(100-100)
114,2022-01-14,6.652189665396094-46.99802585994567,(200-200),(200-200),(200-200),(100-100),(100-100)
115,2022-01-14,6.528677381908523-46.95376729321464,(200-200),(200-200),(200-200),(100-100),(100-100)
116,2022-01-22,6.493726634686084-46.91190021022342,(200-200),(200-200),(200-200),(100-100),(100-100)
