# index, date, coordinate, B02, B03, B04, B05, B8A
139,2022-01-22,6.494912203852266-46.53647579032253,(200-200),(200-200),(200-200),(100-100),(100-100)
140,2022-01-22,6.528085766803741-46.54686597781435,(200-200),(200-200),(200-200),(100-100),(100-100)
141,2022-01-22,6.479510192482394-46.558068853534394,(200-200),(200-200),(200-200),(100-100),(100-100)
142,2022-01-22,6.455518607817737-46.57476702700683,(200-200),(200-200),(200-200),(100-100),(100-100)
143,2022-01-22,6.512091380350142-46.56784401712514,(200-200),(200-200),(200-200),(100-100),(100-100)
144,2022-01-22,6.346815950646942-46.549310436995114,(200-200),(200-200),(200-200),(100-100),(100-100)
146,2022-01-22,6.505871337296554-46.5916636041587,(200-200),(200-200),(200-200),(100-100),(100-100)
147,2022-01-22,6.483064441144734-46.60407816304709,(200-200),(200-200),(200-200),(100-100),(100-100)
148,2022-01-22,6.438931756473039-46.61628647995829,(200-200),(200-200),(200-200),(100-100),(100-100)
149,2022-01-22,6.510017962796098-46.633170114489985,(200-200),(200-200),(200-200),(100-100),(100-100)
150,2022-01-22,6.55740847285378-46.6004151005755,(200-200),(200-200),(200-200),(100-100),(100-100)
151,2022-01-22,6.566170039697937-46.637272949203236,(200-200),(200-200),(200-200),(100-100),(100-100)
152,2022-01-22,6.5957892923324835-46.623238589781636,(200-200),(200-200),(200-200),(100-100),(100-100)
153,2022-01-22,6.599935987701485-46.65374342343435,(200-200),(200-200),(200-200),(100-100),(100-100)
156,2022-01-14,6.67171600177781-46.655769877346415,(200-200),(200-200),(200-200),(100-100),(100-100)
157,2022-01-14,6.731713738430443-46.5531814926637,(200-200),(200-200),(200-200),(100-100),(100-100)
158,2022-01-14,6.721264634014062-46.52373552099556,(200-200),(200-200),(200-200),(100-100),(100-100)
159,2022-01-14,6.791374753964988-46.51816913393765,(200-200),(200-200),(200-200),(100-100),(100-100)
160,2022-01-14,6.786318735699439-46.56592873002131,(200-200),(200-200),(200-200),(100-100),(100-100)
161,2022-01-14,6.772836020324206-46.612720159578345,(200-200),(200-200),(200-200),(100-100),(100-100)
162,2022-01-14,6.822047963878504-46.63309187861205,(200-200),(200-200),(200-200),(100-100),(100-100)
163,2022-01-14,6.819014143631762-46.5951201942444,(200-200),(200-200),(200-200),(100-100),(100-100)
165,2022-01-14,6.722961962186389-46.709799360209615,(200-200),(200-200),(200-200),(100-100),(100-100)
166,2022-01-22,6.655548385310283-46.735679195694274,(200-200),(200-200),(200-200),(100-100),(100-100)
167,2022-01-22,6.6208303932195065-46.736141222790735,(200-200),(200-200),(200-200),(100-100),(100-100)
168,2022-01-14,6.732123185185941-46.7533170371247,(200-200),(200-200),(200-200),(100-100),(100-100)
169,2022-01-14,6.803801892084749-46.75392585112846,(200-200),(200-200),(200-200),(100-100),(100-100)
170,2022-01-14,6.872814861003889-46.70052859331409,(200-200),(200-200),(200-200),(100-100),(100-100)
171,2022-01-14,6.826312634366985-46.73098983807117,(200-200),(200-200),(200-200),(100-100),(100-100)
172,2022-01-14,6.786919028361893-46.747228804641594,(200-200),(200-200),(200-200),(100-100),(100-100)
173,2022-01-14,6.929683506347828-46.71007489166334,(200-200),(200-200),(200-200),(100-100),(100-100)
174,2022-01-14,7.008766761386141-46.7173858447907,(200-200),(200-200),(200-200),(100-100),(100-100)
176,2022-01-14,7.038385915674127-46.77401221710866,(200-200),(200-200),(200-200),(100-100),(100-100)
177,2022-01-14,6.935607204944688-46.77360648282681,(200-200),(200-200),(200-200),(100-100),(100-100)
180,2022-01-14,6.9086536943914325-46.8279447425717,(200-200),(200-200),(200-200),(100-100),(100-100)
181,2022-01-14,6.948935850436698-46.85732129997581,(200-200),(200-200),(200-200),(100-100),(100-100)
182,2022-01-14,6.976777947913831-46.868662433011565,(200-200),(200-200),(200-200),(100-100),(100-100)
183,2022-01-14,6.88732780495701-46.85225752063013,(200-200),(200-200),(200-200),(100-100),(100-100)
184,2022-01-14,6.962856823000351-46.89680236193064,(200-200),(200-200),(200-200),(100-100),(100-100)
185,2022-01-14,7.01587528521685-46.897611926438486,(200-200),(200-200),(200-200),(100-100),(100-100)
186,2022-01-14,7.043124661845781-46.94980289395548,(200-200),(200-200),(200-200),(100-100),(100-100)
187,2022-01-14,7.101178279525101-46.984366567691836,(200-200),(200-200),(200-200),(100-100),(100-100)
188,2022-01-14,7.150713285610294-46.9746462531738,(200-200),(200-200),(200-200),(100-100),(100-100)
189,2022-01-14,7.147795627016961-47.0117328170729,(200-200),(200-200),(200-200),(100-100),(100-100)
190,2022-01-14,7.181479947257145-47.000157336259974,(200-200),(200-200),(200-200),(100-100),(100-100)
191,2022-01-14,7.202167954963187-47.02204011786418,(200-200),(200-200),(200-200),(100-100),(100-100)
192,2022-01-14,7.232669186087804-47.04156425884187,(200-200),(200-200),(200-200),(100-100),(100-100)
193,2022-01-14,7.267414429799032-47.08456452470577,(200-200),(200-200),(200-200),(100-100),(100-100)
194,2022-01-14,7.322582246628315-47.12644739675028,(200-200),(200-200),(200-200),(100-100),(100-100)
195,2022-01-14,7.398702997296851-47.16613336674061,(200-200),(200-200),(200-200),(100-100),(100-100)
196,2022-01-14,7.431590806884003-47.182359820351195,(200-200),(200-200),(200-200),(100-100),(100-100)
197,2022-01-14,7.474292644836794-47.19731991382997,(200-200),(200-200),(200-200),(100-100),(100-100)
198,2022-01-14,7.463948622085923-47.14412896431426,(200-200),(200-200),(200-200),(100-100),(100-100)
199,2022-01-14,7.437957265128034-47.09810785067239,(200-200),(200-200),(200-200),(100-100),(100-100)
200,2022-01-14,7.483046512692852-47.11363328247529,(200-200),(200-200),(200-200),(100-100),(100-100)
201,2022-01-14,7.387032938465666-47.08275849761034,(200-200),(200-200),(200-200),(100-100),(100-100)
202,2022-01-14,7.326030174962028-47.04680582859626,(200-200),(200-200),(200-200),(100-100),(100-100)
203,2022-01-14,7.4040080501627585-46.992378811960634,(200-200),(200-200),(200-200),(100-100),(100-100)
204,2022-01-14,7.497368902103744-47.0366839576011,(200-200),(200-200),(200-200),(100-100),(100-100)
205,2022-01-14,7.53290974322482-47.061984768190456,(200-200),(200-200),(200-200),(100-100),(100-100)
206,2022-01-14,7.553597520846893-47.10894005929825,(200-200),(200-200),(200-200),(100-100),(100-100)
207,2022-01-14,7.598951999279421-47.11182826682972,(200-200),(200-200),(200-200),(100-100),(100-100)
208,2022-01-14,7.218595871217616-46.83167232078648,(200-200),(200-200),(200-200),(100-100),(100-100)
209,2022-01-14,7.303811050198391-46.83754243157438,(200-200),(200-200),(200-200),(100-100),(100-100)
211,2022-01-14,7.245225614648348-46.877603985281695,(200-200),(200-200),(200-200),(100-100),(100-100)
213,2022-01-14,7.14077775699414-46.88326677293563,(200-200),(200-200),(200-200),(100-100),(100-100)
214,2022-01-14,7.257948311133873-46.92127329316844,(200-200),(200-200),(200-200),(100-100),(100-100)
215,2022-01-14,7.36683380489103-46.90368854243019,(200-200),(200-200),(200-200),(100-100),(100-100)
216,2022-01-14,7.325113877769468-46.87679489826286,(200-200),(200-200),(200-200),(100-100),(100-100)
217,2022-01-14,7.228951449123912-46.799274100037934,(200-200),(200-200),(200-200),(100-100),(100-100)
218,2022-01-14,7.527313531390888-46.82222164852715,(200-200),(200-200),(200-200),(100-100),(100-100)
219,2022-01-14,7.474020307093809-46.84119801807515,(200-200),(200-200),(200-200),(100-100),(100-100)
220,2022-01-14,7.496459559429667-46.87273939345272,(200-200),(200-200),(200-200),(100-100),(100-100)
222,2022-01-14,7.373978640431204-46.816463447702745,(200-200),(200-200),(200-200),(100-100),(100-100)
223,2022-01-14,7.282040088917768-46.90341038463799,(200-200),(200-200),(200-200),(100-100),(100-100)
224,2022-01-14,7.469032575146144-47.067753649123404,(200-200),(200-200),(200-200),(100-100),(100-100)
225,2022-01-14,6.953248894286901-46.64155011036817,(200-200),(200-200),(200-200),(100-100),(100-100)
226,2022-01-14,6.917464663871044-46.63266306949228,(200-200),(200-200),(200-200),(100-100),(100-100)
227,2022-01-14,6.909470314523958-46.66950862656009,(200-200),(200-200),(200-200),(100-100),(100-100)
228,2022-01-14,6.956675044008307-46.676038906973815,(200-200),(200-200),(200-200),(100-100),(100-100)
229,2022-01-14,6.838663440120683-46.660365070984795,(200-200),(200-200),(200-200),(100-100),(100-100)
230,2022-01-14,7.005782944431246-46.745472182632795,(200-200),(200-200),(200-200),(100-100),(100-100)
231,2022-01-14,7.2710610558920905-46.77807361111928,(200-200),(200-200),(200-200),(100-100),(100-100)
232,2022-01-14,7.236190100817481-46.760803376811026,(200-200),(200-200),(200-200),(100-100),(100-100)
233,2022-01-14,7.196759061941208-46.81443321416921,(200-200),(200-200),(200-200),(100-100),(100-100)
234,2022-01-14,7.289032973829848-46.80011266360668,(200-200),(200-200),(200-200),(100-100),(100-100)
236,2022-01-14,7.354751135060212-46.8377418000573,(200-200),(200-200),(200-200),(100-100),(100-100)
237,2022-01-14,7.307540846797508-46.86764280456188,(200-200),(200-200),(200-200),(100-100),(100-100)
238,2022-01-14,7.467410429224174-46.870760379640956,(200-200),(200-200),(200-200),(100-100),(100-100)
239,2022-01-14,7.452657356577873-46.812781088594136,(200-200),(200-200),(200-200),(100-100),(100-100)
240,2022-01-14,7.379428443616234-46.791665512973935,(200-200),(200-200),(200-200),(100-100),(100-100)
